日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2021-01-04,6307525,778088986,122.2,124.5,122.0,124.35,2.1,5434
2021-01-05,4962514,616480760,124.2,124.65,123.75,124.6,0.25,6179
2021-01-06,10859755,1367952768,126.1,127.15,124.1,125.95,1.35,9245
2021-01-07,6863448,877015237,126.55,129.0,126.55,128.9,2.95,6299
2021-01-08,13298515,1733821488,130.6,131.25,129.55,131.2,2.3,10629
2021-01-11,10492804,1375120183,131.2,132.3,130.5,132.3,1.1,10995
2021-01-12,11223083,1484059869,132.3,133.15,131.6,132.1,-0.2,11184
2021-01-13,10912897,1465070002,132.75,135.45,132.7,135.3,3.2,8059
2021-01-14,12390589,1660294742,135.0,135.05,133.35,134.05,-1.25,11405
2021-01-15,21933080,2983569891,137.15,138.0,134.4,134.5,0.45,13533
2021-01-18,14495824,1937130062,134.6,134.95,132.1,134.4,-0.1,11800
2021-01-19,12262208,1675696411,135.2,138.1,135.2,137.95,3.55,8222
2021-01-20,30367315,4202770386,138.1,139.5,137.65,138.2,0.25,25701
2021-01-21,14029981,1984425275,138.4,143.25,138.35,143.0,4.8,12122
2021-01-22,24714046,3413371452,138.2,139.0,135.0,137.45,X0.00,26235
2021-01-25,14258565,1931915211,137.2,137.3,134.2,135.6,-1.85,15890
2021-01-26,15080041,2016627426,135.55,136.6,131.8,132.85,-2.75,20506
2021-01-27,8124071,1082040695,133.3,134.4,132.25,133.05,0.2,8939
2021-01-28,15242813,1983766728,130.0,131.3,129.4,130.35,-2.7,20286
2021-01-29,14709917,1910423184,131.6,131.85,128.2,128.2,-2.15,18761
