Date,year,month,day,Season
2019-07-31,2019,7,31,3
2019-08-01,2019,8,1,3
2019-08-02,2019,8,2,3
2019-08-03,2019,8,3,3
2019-08-04,2019,8,4,3
2019-08-05,2019,8,5,3
2019-08-06,2019,8,6,3
2019-08-07,2019,8,7,3
2019-08-08,2019,8,8,3
2019-08-09,2019,8,9,3
2019-08-12,2019,8,12,3
2019-08-13,2019,8,13,3
2019-08-14,2019,8,14,3
2019-08-15,2019,8,15,3
2019-08-16,2019,8,16,3
2019-08-19,2019,8,19,3
2019-08-20,2019,8,20,3
2019-08-21,2019,8,21,3
2019-08-22,2019,8,22,3
2019-08-27,2019,8,27,3
2019-08-29,2019,8,29,3
2019-08-30,2019,8,30,3
2019-08-31,2019,8,31,3
2019-09-02,2019,9,2,3
2019-09-03,2019,9,3,3
2019-09-04,2019,9,4,3
2019-09-05,2019,9,5,3
2019-09-06,2019,9,6,3
2019-09-09,2019,9,9,3
2019-09-10,2019,9,10,3
2019-09-11,2019,9,11,3
2019-09-12,2019,9,12,3
2019-09-13,2019,9,13,3
2019-09-16,2019,9,16,3
2019-09-17,2019,9,17,3
2019-09-18,2019,9,18,3
2019-09-19,2019,9,19,3
2019-09-20,2019,9,20,3
2019-09-23,2019,9,23,3
2019-09-24,2019,9,24,3
2019-09-25,2019,9,25,3
2019-09-26,2019,9,26,3
2019-09-30,2019,9,30,3
2019-10-01,2019,10,1,4
2019-10-02,2019,10,2,4
2019-10-03,2019,10,3,4
2019-10-04,2019,10,4,4
2019-10-07,2019,10,7,4
2019-10-08,2019,10,8,4
2019-10-09,2019,10,9,4
2019-10-10,2019,10,10,4
2019-10-11,2019,10,11,4
2019-10-14,2019,10,14,4
2019-10-15,2019,10,15,4
2019-10-16,2019,10,16,4
2019-10-17,2019,10,17,4
2019-10-18,2019,10,18,4
2019-10-21,2019,10,21,4
2019-10-22,2019,10,22,4
2019-10-23,2019,10,23,4
2019-10-24,2019,10,24,4
2019-10-25,2019,10,25,4
2019-10-28,2019,10,28,4
2019-10-29,2019,10,29,4
2019-10-30,2019,10,30,4
2019-11-01,2019,11,1,4
2019-11-04,2019,11,4,4
2019-11-05,2019,11,5,4
2019-11-06,2019,11,6,4
2019-11-07,2019,11,7,4
2019-11-08,2019,11,8,4
2019-11-11,2019,11,11,4
2019-11-12,2019,11,12,4
2019-11-13,2019,11,13,4
2019-11-14,2019,11,14,4
2019-11-15,2019,11,15,4
2019-11-18,2019,11,18,4
2019-11-19,2019,11,19,4
2019-11-20,2019,11,20,4
2019-11-21,2019,11,21,4
2019-11-22,2019,11,22,4
2019-11-25,2019,11,25,4
2019-11-26,2019,11,26,4
2019-11-27,2019,11,27,4
2019-11-28,2019,11,28,4
2019-11-29,2019,11,29,4
2019-12-02,2019,12,2,4
2019-12-03,2019,12,3,4
2019-12-04,2019,12,4,4
2019-12-05,2019,12,5,4
2019-12-06,2019,12,6,4
2019-12-09,2019,12,9,4
2019-12-10,2019,12,10,4
2019-12-11,2019,12,11,4
2019-12-12,2019,12,12,4
2019-12-13,2019,12,13,4
2019-12-16,2019,12,16,4
2019-12-17,2019,12,17,4
2019-12-18,2019,12,18,4
2019-12-19,2019,12,19,4
2019-12-20,2019,12,20,4
2019-12-23,2019,12,23,4
2019-12-24,2019,12,24,4
2019-12-25,2019,12,25,4
2019-12-26,2019,12,26,4
2019-12-27,2019,12,27,4
2019-12-30,2019,12,30,4
2019-12-31,2019,12,31,4
2020-01-01,2020,1,1,1
2020-01-02,2020,1,2,1
2020-01-03,2020,1,3,1
2020-01-06,2020,1,6,1
2020-01-07,2020,1,7,1
2020-01-08,2020,1,8,1
2020-01-09,2020,1,9,1
2020-01-10,2020,1,10,1
2020-01-13,2020,1,13,1
2020-01-14,2020,1,14,1
2020-01-15,2020,1,15,1
2020-01-16,2020,1,16,1
2020-01-17,2020,1,17,1
2020-01-20,2020,1,20,1
2020-01-21,2020,1,21,1
2020-01-22,2020,1,22,1
2020-01-23,2020,1,23,1
2020-01-24,2020,1,24,1
2020-01-27,2020,1,27,1
2020-01-28,2020,1,28,1
2020-01-29,2020,1,29,1
2020-01-30,2020,1,30,1
2020-01-31,2020,1,31,1
2020-02-03,2020,2,3,1
2020-02-04,2020,2,4,1
2020-02-05,2020,2,5,1
2020-02-06,2020,2,6,1
2020-02-07,2020,2,7,1
2020-02-10,2020,2,10,1
2020-02-11,2020,2,11,1
2020-02-12,2020,2,12,1
2020-02-13,2020,2,13,1
2020-02-14,2020,2,14,1
2020-02-17,2020,2,17,1
2020-02-18,2020,2,18,1
2020-02-19,2020,2,19,1
2020-02-20,2020,2,20,1
2020-02-21,2020,2,21,1
2020-02-24,2020,2,24,1
2020-02-25,2020,2,25,1
2020-02-26,2020,2,26,1
2020-02-27,2020,2,27,1
2020-02-28,2020,2,28,1
2020-02-29,2020,2,29,1
2020-03-02,2020,3,2,1
2020-03-03,2020,3,3,1
2020-03-04,2020,3,4,1
2020-03-05,2020,3,5,1
2020-03-06,2020,3,6,1
2020-03-07,2020,3,7,1
2020-03-09,2020,3,9,1
2020-03-10,2020,3,10,1
2020-03-11,2020,3,11,1
2020-03-12,2020,3,12,1
2020-03-13,2020,3,13,1
2020-03-15,2020,3,15,1
2020-03-16,2020,3,16,1
2020-03-17,2020,3,17,1
2020-03-18,2020,3,18,1
2020-03-19,2020,3,19,1
2020-03-20,2020,3,20,1
2020-03-23,2020,3,23,1
2020-03-24,2020,3,24,1
2020-03-25,2020,3,25,1
2020-03-26,2020,3,26,1
2020-03-27,2020,3,27,1
2020-03-28,2020,3,28,1
2020-03-30,2020,3,30,1
2020-03-31,2020,3,31,1
2020-04-01,2020,4,1,2
2020-04-02,2020,4,2,2
2020-04-03,2020,4,3,2
2020-04-06,2020,4,6,2
2020-04-07,2020,4,7,2
2020-04-08,2020,4,8,2
2020-04-09,2020,4,9,2
2020-04-10,2020,4,10,2
2020-04-13,2020,4,13,2
